encabezado_evt_hist
ciclo,nodo,evento,desde,probabilidad,patch_lv,infectados_total,intencion,escenario
0,fw1,PARCHEO,-,-,30,1,patch,Personalizado
1,fw1,PARCHEO,-,-,40,1,patch,Personalizado
2,fw1,PARCHEO,-,-,50,1,patch,Personalizado
21,fw1,Infeccion_Exitosa,internet,0.07000000000000002,50,2,spread,Personalizado
22,sw1,PARCHEO,-,-,27,2,patch,Personalizado
23,sw1,PARCHEO,-,-,37,2,patch,Personalizado
24,sw1,PARCHEO,-,-,47,2,patch,Personalizado
25,sw1,PARCHEO,-,-,57,2,patch,Personalizado
37,sw1,Infeccion_Exitosa,fw1,0.217,57,3,spread,Personalizado
38,pc1,Infeccion_Exitosa,sw1,0.35,16,4,spread,Personalizado
50,pc2,Infeccion_Exitosa,pc1,0.35,15,5,spread,Personalizado
51,pc4,Infeccion_Exitosa,pc2,0.35,19,6,spread,Personalizado
52,-,ALERTA_CRITICA,-,-,-,6,-,Personalizado
52,pc1,AISLADO_EMERGENCIA,-,-,16,6,isolated,Personalizado
52,pc2,AISLADO_EMERGENCIA,-,-,15,6,isolated,Personalizado
52,pc3,AISLADO_EMERGENCIA,-,-,15,6,isolated,Personalizado
52,pc4,AISLADO_EMERGENCIA,-,-,19,6,isolated,Personalizado
52,sw1,AISLADO_EMERGENCIA,-,-,57,6,isolated,Personalizado
52,fw1,AISLADO_EMERGENCIA,-,-,50,6,isolated,Personalizado
0,fw1,PARCHEO,-,-,18,1,patch,E1 - Real 2017
1,fw1,PARCHEO,-,-,28,1,patch,E1 - Real 2017
2,fw1,PARCHEO,-,-,38,1,patch,E1 - Real 2017
3,fw1,PARCHEO,-,-,48,1,patch,E1 - Real 2017
4,fw1,PARCHEO,-,-,58,1,patch,E1 - Real 2017
10,fw1,Infeccion_Exitosa,internet,0.19319999999999998,58,2,spread,E1 - Real 2017
11,sw1,PARCHEO,-,-,16,2,patch,E1 - Real 2017
11,sw1,Infeccion_Exitosa,fw1,0.31266666666666665,16,3,spread,E1 - Real 2017
14,pc1,Infeccion_Exitosa,sw1,0.35,13,4,spread,E1 - Real 2017
37,pc2,Infeccion_Exitosa,pc1,0.35,9,5,spread,E1 - Real 2017
47,pc3,Infeccion_Exitosa,pc1,0.35,9,6,spread,E1 - Real 2017
48,-,ALERTA_CRITICA,-,-,-,6,-,E1 - Real 2017
48,pc1,AISLADO_EMERGENCIA,-,-,13,6,isolated,E1 - Real 2017
48,pc2,AISLADO_EMERGENCIA,-,-,9,6,isolated,E1 - Real 2017
48,pc3,AISLADO_EMERGENCIA,-,-,9,6,isolated,E1 - Real 2017
48,pc4,AISLADO_EMERGENCIA,-,-,10,6,isolated,E1 - Real 2017
48,sw1,AISLADO_EMERGENCIA,-,-,16,6,isolated,E1 - Real 2017
